year,export_value,import_value,location_code,partner_code,hs_product_code
2006,27820020,10384420345,CHN,AGO,3
2007,42059125,12256477806,CHN,AGO,3
2008,105719152,21241414239,CHN,AGO,3
2009,134674478,13862614949,CHN,AGO,3
2010,141932695,21579745841,CHN,AGO,3
2011,164103774,23581620507,CHN,AGO,3
2012,120005311,31913486407,CHN,AGO,3
2013,124462291,30435120106,CHN,AGO,3
2014,57929309,29343892193,CHN,AGO,3
2015,4075706,15085337754,CHN,AGO,3
2016,118805889,13243876635,CHN,AGO,3
2017,2639390,19534156963,CHN,AGO,3
2006,2821658,11510622311,USA,AGO,3
2007,6443028,12194257731,USA,AGO,3
2008,10899690,18486553696,USA,AGO,3
2010,10320397,11516933056,USA,AGO,3
2011,10048288,13044011465,USA,AGO,3
2014,514731356,11351284688,CHN,ARE,3
2008,4310062926,8587397437,IND,ARE,3
2010,4977294976,7482509337,IND,ARE,3
2011,6136727795,10966545522,IND,ARE,3
2012,5573678806,12847952095,IND,ARE,3
2013,5025815050,11236566498,IND,ARE,3
2014,6635059531,11950727646,IND,ARE,3
2015,3628092489,6829245567,IND,ARE,3
2016,3314272602,6992133307,IND,ARE,3
2017,3878473659,7602341777,IND,ARE,3
2000,3683936,13890225780,JPN,ARE,3
2001,5613168,11998295054,JPN,ARE,3
2002,3826622,10818396109,JPN,ARE,3
2003,6231319,13324542671,JPN,ARE,3
2004,11924956,16570573048,JPN,ARE,3
2006,27011804,30561711296,JPN,ARE,3
2007,36440950,31889286846,JPN,ARE,3
2008,73758994,41100323202,JPN,ARE,3
2009,29886922,21349998703,JPN,ARE,3
2010,24530272,27434761866,JPN,ARE,3
2011,27433590,40071537239,JPN,ARE,3
2012,41654730,41095642942,JPN,ARE,3
2014,139741390,38633447044,JPN,ARE,3
2016,57193258,15636689094,JPN,ARE,3
2017,108886546,18710015151,JPN,ARE,3
2015,55411401,21591120162,JPN,ARE,3
1996,1450118,10753702566,JPN,ARE,3
1997,2505458,11479016164,JPN,ARE,3
2005,18342582,24255336462,JPN,ARE,3
2013,60701523,39724365992,JPN,ARE,3
2006,54012533,12096533309,KOR,ARE,3
2007,194433818,11806546674,KOR,ARE,3
2008,447194391,17925269013,KOR,ARE,3
2010,89055638,11174672834,KOR,ARE,3
2011,92323389,13426201017,KOR,ARE,3
2012,111808333,13756205167,KOR,ARE,3
2013,70081685,16629399921,KOR,ARE,3
2014,156289393,14455494445,KOR,ARE,3
2011,357703854,9788855812,SGP,ARE,3
2013,152464114,14396069104,SGP,ARE,3
2014,234679096,13116792606,SGP,ARE,3
2012,135533936,13692635364,SGP,ARE,3
2008,96861851,10110164684,THA,ARE,3
2011,16387633,12534930555,THA,ARE,3
2012,50827154,14214359157,THA,ARE,3
2013,19981146,15907610578,THA,ARE,3
2014,26534879,11576967006,THA,ARE,3
2005,18392127,11637347369,TWN,ARE,3
2007,129521676,17678152883,TWN,ARE,3
2008,69088644,45278109716,TWN,ARE,3
2009,12836897,24376875425,TWN,ARE,3
2010,136191682,34823129440,TWN,ARE,3
2011,2698182,48720956785,TWN,ARE,3
2012,32327367,97122618678,TWN,ARE,3
2013,3159583,105698923303,TWN,ARE,3
2014,358409,89264569181,TWN,ARE,3
2015,1218066,46174754254,TWN,ARE,3
2016,78547903,40892836284,TWN,ARE,3
2017,154443920,53014293212,TWN,ARE,3
2012,363531558,16340609586,ANS,ARE,3
2013,831993884,16397940851,ANS,ARE,3
2014,1319101212,14173562848,ANS,ARE,3
2007,188770239,19172458767,ANS,ARE,3
2008,318949933,24068795223,ANS,ARE,3
2011,2838476,10851030270,ITA,AZE,3
2008,2831851524,7794833532,DEU,BEL,3
2011,1852011738,9051215030,DEU,BEL,3
2012,2131330556,8664225644,DEU,BEL,3
2013,2993270861,9657244899,DEU,BEL,3
2008,2726264631,9840692213,FRA,BEL,3
2011,2505461404,9361354313,FRA,BEL,3
2012,2302517699,8693038341,FRA,BEL,3
2013,3239540452,10756637222,FRA,BEL,3
2014,2940157413,8878446733,FRA,BEL,3
2000,9460131627,2219619784,NLD,BEL,3
2001,8927675477,1768879216,NLD,BEL,3
2002,8925952691,2437464908,NLD,BEL,3
2003,11198883946,3426408236,NLD,BEL,3
2004,15599391087,4710509050,NLD,BEL,3
2005,22490760655,6252038206,NLD,BEL,3
2006,26721905434,8409686070,NLD,BEL,3
2007,27588243735,9284303612,NLD,BEL,3
2008,39985778298,11054962816,NLD,BEL,3
2009,24229200826,7211850575,NLD,BEL,3
2010,30317115369,10403918852,NLD,BEL,3
2011,41753674198,13645862234,NLD,BEL,3
2012,45053911082,14267139596,NLD,BEL,3
2013,49117819397,15341490733,NLD,BEL,3
2014,42188442969,13548722881,NLD,BEL,3
2015,23940873854,8438571500,NLD,BEL,3
2016,19401767130,7597298295,NLD,BEL,3
2017,24141085139,9437999909,NLD,BEL,3
2007,456254750,9991260019,CHN,BRA,3
2008,1132431679,16649761046,CHN,BRA,3
2009,62681792,14127326494,CHN,BRA,3
2010,337669711,19085242129,CHN,BRA,3
2011,407396974,26230387879,CHN,BRA,3
2012,222374592,22223947804,CHN,BRA,3
2013,226920126,21990790737,CHN,BRA,3
2014,224487617,18683481095,CHN,BRA,3
2015,270511149,12959744919,CHN,BRA,3
2016,174079958,14308089348,CHN,BRA,3
2017,233452734,20439593501,CHN,BRA,3
2012,10596907735,17626577,NGA,BRA,3
2010,4420966486,6710509858,USA,BRA,3
2011,6807048491,8561106035,USA,BRA,3
2012,7542681321,8277360381,USA,BRA,3
2013,6464851475,5432119183,USA,BRA,3
2014,7387455815,6046835451,USA,BRA,3
2017,8748105345,4310439079,USA,BRA,3
1995,2530168787,16092277099,USA,CAN,3
1996,2723770909,19052174181,USA,CAN,3
1997,3470492389,20671218084,USA,CAN,3
1998,3403397136,16871198939,USA,CAN,3
1999,3088109639,19092208847,USA,CAN,3
2000,3644115997,33781189710,USA,CAN,3
2001,4560158006,35764786098,USA,CAN,3
2002,3459698235,31141816572,USA,CAN,3
2003,4971746430,43207584493,USA,CAN,3
2004,6702837268,51591406196,USA,CAN,3
2005,9654516567,69878684822,USA,CAN,3
2006,10488147025,75531456421,USA,CAN,3
2007,12639764490,83931750930,USA,CAN,3
2008,19020555142,117553231489,USA,CAN,3
2009,10871108712,66632843143,USA,CAN,3
2010,15212832069,86139800548,USA,CAN,3
2011,21188255344,105806871991,USA,CAN,3
2012,21135486254,107299991902,USA,CAN,3
2013,26926943075,114068268115,USA,CAN,3
2014,34963969570,122584782803,USA,CAN,3
2015,23029862731,75238883560,USA,CAN,3
2016,18440433391,58614620508,USA,CAN,3
2017,21698070653,76733084794,USA,CAN,3
2008,10057752942,131618,KAZ,CHE,3
2010,21579745841,141932695,AGO,CHN,3
2007,12256477806,42059125,AGO,CHN,3
2013,30435120106,124462291,AGO,CHN,3
2014,29343892193,57929309,AGO,CHN,3
2009,13862614949,134674478,AGO,CHN,3
2012,31913486407,120005311,AGO,CHN,3
2015,15085337754,4075706,AGO,CHN,3
2011,23581620507,164103774,AGO,CHN,3
2008,21241414239,105719152,AGO,CHN,3
2006,10384420345,27820020,AGO,CHN,3
2016,13243876635,118805889,AGO,CHN,3
2017,19534156963,2639390,AGO,CHN,3
2014,11351284688,514731356,ARE,CHN,3
2006,9959377123,234510182,AUS,CHN,3
2007,14655196924,147534005,AUS,CHN,3
2008,26711153432,237473762,AUS,CHN,3
2009,26651307638,189699936,AUS,CHN,3
2010,43051629624,224601130,AUS,CHN,3
2011,58620445260,378794898,AUS,CHN,3
2012,53327883738,335288301,AUS,CHN,3
2013,63674379660,293716981,AUS,CHN,3
2014,60757455994,699782246,AUS,CHN,3
2015,37596767004,995449624,AUS,CHN,3
2016,42473650871,1137496802,AUS,CHN,3
2017,57422265775,1102122355,AUS,CHN,3
2007,9991260019,456254750,BRA,CHN,3
2008,16649761046,1132431679,BRA,CHN,3
2009,14127326494,62681792,BRA,CHN,3
2010,19085242129,337669711,BRA,CHN,3
2011,26230387879,407396974,BRA,CHN,3
2012,22223947804,222374592,BRA,CHN,3
2013,21990790737,226920126,BRA,CHN,3
2014,18683481095,224487617,BRA,CHN,3
2015,12959744919,270511149,BRA,CHN,3
2016,14308089348,174079958,BRA,CHN,3
2017,20439593501,233452734,BRA,CHN,3
2011,13167143627,2379928703,IDN,CHN,3
2012,16569550528,1994672327,IDN,CHN,3
2013,17377984700,2752708523,IDN,CHN,3
2014,9813415536,2265172459,IDN,CHN,3
2008,14734799202,1367807763,IND,CHN,3
2011,10896982374,1504205074,IND,CHN,3
2008,17447530230,130610333,IRN,CHN,3
2010,14502895765,81439257,IRN,CHN,3
2007,11986207612,94746297,IRN,CHN,3
2016,10559749710,88882253,IRN,CHN,3
2009,10946840707,33671298,IRN,CHN,3
2011,24556976191,74704159,IRN,CHN,3
2012,19888772387,69919705,IRN,CHN,3
2013,19591776787,114510668,IRN,CHN,3
2014,22471876630,487552728,IRN,CHN,3
2015,11812484548,215329805,IRN,CHN,3
2017,13727065849,119585737,IRN,CHN,3
2014,19721608019,3754756,IRQ,CHN,3
2015,12039302807,4835186,IRQ,CHN,3
2012,12018450810,12409382,IRQ,CHN,3
2013,17078615592,3895287,IRQ,CHN,3
2016,10127557916,1330507,IRQ,CHN,3
2017,13122208768,3307207,IRQ,CHN,3
2008,5050164496,5592320838,JPN,CHN,3
2012,10539782823,82982336,KAZ,CHN,3
2013,10881199426,151377160,KAZ,CHN,3
2011,11324821066,91003952,KAZ,CHN,3
2008,9204087059,4338093973,KOR,CHN,3
2011,11936372739,2892285227,KOR,CHN,3
2012,10899889059,2578317749,KOR,CHN,3
2013,9194299611,2302866447,KOR,CHN,3
2014,8204271699,2308046169,KOR,CHN,3
2017,8393358413,2002456328,MYS,CHN,3
2008,10849511001,18958791,OMN,CHN,3
2011,12861381016,37202366,OMN,CHN,3
2012,15258584212,44800088,OMN,CHN,3
2013,18385536695,47208216,OMN,CHN,3
2015,13539369130,142069880,OMN,CHN,3
2017,11964411245,36731409,OMN,CHN,3
2014,21761226475,105259963,OMN,CHN,3
2016,10629195530,128701572,OMN,CHN,3
2008,12845855948,391192122,RUS,CHN,3
2015,19662865616,221366928,RUS,CHN,3
2016,18053514297,176579299,RUS,CHN,3
2017,26315728227,272853838,RUS,CHN,3
2012,29078139670,351162231,RUS,CHN,3
2010,12804416444,264014571,RUS,CHN,3
2011,25652708497,399707098,RUS,CHN,3
2013,26564917870,323330282,RUS,CHN,3
2014,28844146954,228640271,RUS,CHN,3
2006,11388260879,27073988,SAU,CHN,3
2008,25693200584,28940653,SAU,CHN,3
2010,24768518501,27018980,SAU,CHN,3
2011,37752430392,40110995,SAU,CHN,3
2013,39671454571,78525372,SAU,CHN,3
2014,34606231258,72359409,SAU,CHN,3
2015,19192230109,104469028,SAU,CHN,3
2016,14717178844,102508702,SAU,CHN,3
2007,13050012563,22502527,SAU,CHN,3
2009,18450222727,19147295,SAU,CHN,3
2012,42291645042,81725464,SAU,CHN,3
2017,20782119382,84062473,SAU,CHN,3
2017,5282253101,5374580893,SGP,CHN,3
2017,8930252494,1316407158,USA,CHN,3
2011,10914253188,14610622,VEN,CHN,3
2012,13617270673,301651156,VEN,CHN,3
2013,12420838727,25600456,VEN,CHN,3
2014,10651068581,9244091,VEN,CHN,3
2011,12170243340,111519080,ZAF,CHN,3
2010,2165135697,9901479631,USA,COL,3
2011,2583437885,15588858497,USA,COL,3
