,year,export_value,import_value,location_code,partner_code,hs_product_code,location_id,location_name_short_en
0,2006,27820020,10384420345,CHN,AGO,3,43,China
1,2007,42059125,12256477806,CHN,AGO,3,43,China
2,2008,105719152,21241414239,CHN,AGO,3,43,China
3,2009,134674478,13862614949,CHN,AGO,3,43,China
4,2010,141932695,21579745841,CHN,AGO,3,43,China
5,2011,164103774,23581620507,CHN,AGO,3,43,China
6,2012,120005311,31913486407,CHN,AGO,3,43,China
7,2013,124462291,30435120106,CHN,AGO,3,43,China
8,2014,57929309,29343892193,CHN,AGO,3,43,China
9,2015,4075706,15085337754,CHN,AGO,3,43,China
10,2016,118805889,13243876635,CHN,AGO,3,43,China
11,2017,2639390,19534156963,CHN,AGO,3,43,China
12,2014,514731356,11351284688,CHN,ARE,3,43,China
13,2007,456254750,9991260019,CHN,BRA,3,43,China
14,2008,1132431679,16649761046,CHN,BRA,3,43,China
15,2009,62681792,14127326494,CHN,BRA,3,43,China
16,2010,337669711,19085242129,CHN,BRA,3,43,China
17,2011,407396974,26230387879,CHN,BRA,3,43,China
18,2012,222374592,22223947804,CHN,BRA,3,43,China
19,2013,226920126,21990790737,CHN,BRA,3,43,China
20,2014,224487617,18683481095,CHN,BRA,3,43,China
21,2015,270511149,12959744919,CHN,BRA,3,43,China
22,2016,174079958,14308089348,CHN,BRA,3,43,China
23,2017,233452734,20439593501,CHN,BRA,3,43,China
24,2011,2379928703,13167143627,CHN,IDN,3,43,China
25,2012,1994672327,16569550528,CHN,IDN,3,43,China
26,2013,2752708523,17377984700,CHN,IDN,3,43,China
27,2014,2265172459,9813415536,CHN,IDN,3,43,China
28,2008,1367807763,14734799202,CHN,IND,3,43,China
29,2011,1504205074,10896982374,CHN,IND,3,43,China
30,2007,94746297,11986207612,CHN,IRN,3,43,China
31,2008,130610333,17447530230,CHN,IRN,3,43,China
32,2009,33671298,10946840707,CHN,IRN,3,43,China
33,2010,81439257,14502895765,CHN,IRN,3,43,China
34,2011,74704159,24556976191,CHN,IRN,3,43,China
35,2012,69919705,19888772387,CHN,IRN,3,43,China
36,2013,114510668,19591776787,CHN,IRN,3,43,China
37,2014,487552728,22471876630,CHN,IRN,3,43,China
38,2015,215329805,11812484548,CHN,IRN,3,43,China
39,2016,88882253,10559749710,CHN,IRN,3,43,China
40,2017,119585737,13727065849,CHN,IRN,3,43,China
41,2008,5592320838,5050164496,CHN,JPN,3,43,China
42,2011,91003952,11324821066,CHN,KAZ,3,43,China
43,2012,82982336,10539782823,CHN,KAZ,3,43,China
44,2013,151377160,10881199426,CHN,KAZ,3,43,China
45,2008,4338093973,9204087059,CHN,KOR,3,43,China
46,2011,2892285227,11936372739,CHN,KOR,3,43,China
47,2012,2578317749,10899889059,CHN,KOR,3,43,China
48,2013,2302866447,9194299611,CHN,KOR,3,43,China
49,2014,2308046169,8204271699,CHN,KOR,3,43,China
50,2017,2002456328,8393358413,CHN,MYS,3,43,China
51,2006,27073988,11388260879,CHN,SAU,3,43,China
52,2007,22502527,13050012563,CHN,SAU,3,43,China
53,2008,28940653,25693200584,CHN,SAU,3,43,China
54,2009,19147295,18450222727,CHN,SAU,3,43,China
55,2010,27018980,24768518501,CHN,SAU,3,43,China
56,2011,40110995,37752430392,CHN,SAU,3,43,China
57,2012,81725464,42291645042,CHN,SAU,3,43,China
58,2013,78525372,39671454571,CHN,SAU,3,43,China
59,2014,72359409,34606231258,CHN,SAU,3,43,China
60,2015,104469028,19192230109,CHN,SAU,3,43,China
61,2016,102508702,14717178844,CHN,SAU,3,43,China
62,2017,84062473,20782119382,CHN,SAU,3,43,China
63,2017,1316407158,8930252494,CHN,USA,3,43,China
64,2011,14610622,10914253188,CHN,VEN,3,43,China
65,2012,301651156,13617270673,CHN,VEN,3,43,China
66,2013,25600456,12420838727,CHN,VEN,3,43,China
67,2014,9244091,10651068581,CHN,VEN,3,43,China
68,2011,111519080,12170243340,CHN,ZAF,3,43,China
69,2006,234510182,9959377123,CHN,AUS,3,43,China
70,2007,147534005,14655196924,CHN,AUS,3,43,China
71,2008,237473762,26711153432,CHN,AUS,3,43,China
72,2009,189699936,26651307638,CHN,AUS,3,43,China
73,2010,224601130,43051629624,CHN,AUS,3,43,China
74,2011,378794898,58620445260,CHN,AUS,3,43,China
75,2012,335288301,53327883738,CHN,AUS,3,43,China
76,2013,293716981,63674379660,CHN,AUS,3,43,China
77,2014,699782246,60757455994,CHN,AUS,3,43,China
78,2015,995449624,37596767004,CHN,AUS,3,43,China
79,2016,1137496802,42473650871,CHN,AUS,3,43,China
80,2017,1102122355,57422265775,CHN,AUS,3,43,China
81,2008,391192122,12845855948,CHN,RUS,3,43,China
82,2010,264014571,12804416444,CHN,RUS,3,43,China
83,2011,399707098,25652708497,CHN,RUS,3,43,China
84,2012,351162231,29078139670,CHN,RUS,3,43,China
85,2013,323330282,26564917870,CHN,RUS,3,43,China
86,2014,228640271,28844146954,CHN,RUS,3,43,China
87,2015,221366928,19662865616,CHN,RUS,3,43,China
88,2016,176579299,18053514297,CHN,RUS,3,43,China
89,2017,272853838,26315728227,CHN,RUS,3,43,China
90,2017,5374580893,5282253101,CHN,SGP,3,43,China
91,2012,12409382,12018450810,CHN,IRQ,3,43,China
92,2013,3895287,17078615592,CHN,IRQ,3,43,China
93,2014,3754756,19721608019,CHN,IRQ,3,43,China
94,2015,4835186,12039302807,CHN,IRQ,3,43,China
95,2016,1330507,10127557916,CHN,IRQ,3,43,China
96,2017,3307207,13122208768,CHN,IRQ,3,43,China
97,2008,18958791,10849511001,CHN,OMN,3,43,China
98,2011,37202366,12861381016,CHN,OMN,3,43,China
99,2012,44800088,15258584212,CHN,OMN,3,43,China
100,2013,47208216,18385536695,CHN,OMN,3,43,China
101,2014,105259963,21761226475,CHN,OMN,3,43,China
102,2015,142069880,13539369130,CHN,OMN,3,43,China
103,2016,128701572,10629195530,CHN,OMN,3,43,China
104,2017,36731409,11964411245,CHN,OMN,3,43,China
105,2008,2912355848,9419350384,CHN,DEU,6,43,China
106,2009,3128608535,11373894749,CHN,DEU,6,43,China
107,2010,7729446745,20826812776,CHN,DEU,6,43,China
108,2011,5685418653,26721771956,CHN,DEU,6,43,China
109,2012,4193497843,27514758674,CHN,DEU,6,43,China
110,2013,3282046280,26703835688,CHN,DEU,6,43,China
111,2014,2661479762,31939455644,CHN,DEU,6,43,China
112,2015,2128487495,23506897363,CHN,DEU,6,43,China
113,2016,2939268125,27000526963,CHN,DEU,6,43,China
114,2017,2950525551,28898330243,CHN,DEU,6,43,China
115,2014,1696216500,8678537905,CHN,GBR,6,43,China
116,2011,11355815205,281288763,CHN,HKG,6,43,China
117,2012,11897364200,225278957,CHN,HKG,6,43,China
118,2014,10081724068,387551653,CHN,HKG,6,43,China
119,2007,3338679443,7341564618,CHN,JPN,6,43,China
120,2008,3683168134,9523879744,CHN,JPN,6,43,China
121,2009,2996982540,10812243502,CHN,JPN,6,43,China
122,2010,3365100305,15836728667,CHN,JPN,6,43,China
123,2011,3782416396,16675011889,CHN,JPN,6,43,China
124,2012,3995411679,14897952670,CHN,JPN,6,43,China
125,2013,4507418513,13788768602,CHN,JPN,6,43,China
126,2014,4566702833,14086142800,CHN,JPN,6,43,China
127,2015,4343600643,11012244369,CHN,JPN,6,43,China
128,2016,4215300113,12470743342,CHN,JPN,6,43,China
129,2017,4499664165,14294642626,CHN,JPN,6,43,China
130,2013,2657035560,7979060531,CHN,KOR,6,43,China
131,2005,4867522174,5205572672,CHN,USA,6,43,China
132,2006,5968037407,7445500787,CHN,USA,6,43,China
133,2007,6923264821,9028462966,CHN,USA,6,43,China
134,2008,7327503603,7123120086,CHN,USA,6,43,China
135,2009,5828634364,6630199778,CHN,USA,6,43,China
136,2010,9011709697,9436506384,CHN,USA,6,43,China
137,2011,10972435697,11035599409,CHN,USA,6,43,China
138,2012,11744984297,13310043053,CHN,USA,6,43,China
139,2013,11931813196,21247726894,CHN,USA,6,43,China
140,2014,14595732275,25415477968,CHN,USA,6,43,China
141,2015,15883841433,23342994631,CHN,USA,6,43,China
142,2016,15654762896,21746211388,CHN,USA,6,43,China
143,2017,17180047472,24040318898,CHN,USA,6,43,China
144,2017,9905828880,176942120,CHN,ARE,7,43,China
145,2007,10397809020,725382911,CHN,CAN,7,43,China
146,2008,11403089970,902365665,CHN,CAN,7,43,China
147,2009,9858213216,1107968687,CHN,CAN,7,43,China
148,2010,12240026195,896071546,CHN,CAN,7,43,China
149,2011,13110270345,1155043199,CHN,CAN,7,43,China
150,2012,13527511517,1133352084,CHN,CAN,7,43,China
151,2013,13698151206,1092900002,CHN,CAN,7,43,China
152,2014,14126906066,1198587437,CHN,CAN,7,43,China
153,2015,13329965193,1106000606,CHN,CAN,7,43,China
154,2016,12737025338,972415870,CHN,CAN,7,43,China
155,2017,14170785340,890472804,CHN,CAN,7,43,China
156,2002,5627866222,5553131481,CHN,DEU,7,43,China
157,2003,8261422014,8174120858,CHN,DEU,7,43,China
158,2004,12055787809,11309489368,CHN,DEU,7,43,China
159,2005,15296000635,10663940267,CHN,DEU,7,43,China
160,2006,18665896381,12737026139,CHN,DEU,7,43,China
161,2007,23357777068,14937735626,CHN,DEU,7,43,China
162,2008,26182847198,18493718519,CHN,DEU,7,43,China
163,2009,22600807455,18627550074,CHN,DEU,7,43,China
164,2010,27619336136,24624160267,CHN,DEU,7,43,China
165,2011,30058497765,32286535386,CHN,DEU,7,43,China
166,2012,28134675164,28011944558,CHN,DEU,7,43,China
167,2013,27241883715,28914713251,CHN,DEU,7,43,China
168,2014,30630800726,30196713139,CHN,DEU,7,43,China
169,2015,29945323439,24264828193,CHN,DEU,7,43,China
170,2016,29257426254,23583542924,CHN,DEU,7,43,China
171,2017,33665672333,29116785428,CHN,DEU,7,43,China
172,2006,8735979507,1724043413,CHN,FRA,7,43,China
173,2007,11516096743,2276664365,CHN,FRA,7,43,China
174,2008,13136870130,2845068801,CHN,FRA,7,43,China
175,2009,10960700820,2785009341,CHN,FRA,7,43,China
176,2010,12729501691,3312929583,CHN,FRA,7,43,China
177,2011,15433679157,3961802202,CHN,FRA,7,43,China
178,2012,14518857410,4648043107,CHN,FRA,7,43,China
179,2013,14844881382,4510278222,CHN,FRA,7,43,China
180,2014,14953249703,4524499073,CHN,FRA,7,43,China
181,2015,13228932108,3916723432,CHN,FRA,7,43,China
182,2016,12984785832,4135398012,CHN,FRA,7,43,China
183,2017,14959192268,4165085323,CHN,FRA,7,43,China
184,2005,8969919826,1817769314,CHN,GBR,7,43,China
185,2006,10155982949,1860077093,CHN,GBR,7,43,China
186,2007,12946594288,2092221405,CHN,GBR,7,43,China
187,2008,13181443935,2609669953,CHN,GBR,7,43,China
188,2009,9915164408,2255620858,CHN,GBR,7,43,China
189,2010,15756579295,2713866574,CHN,GBR,7,43,China
190,2011,16409540493,3020219816,CHN,GBR,7,43,China
191,2012,13171761942,3224527373,CHN,GBR,7,43,China
192,2013,13485928743,3520194631,CHN,GBR,7,43,China
193,2014,15374170014,3288996874,CHN,GBR,7,43,China
194,2015,14365226274,2583763366,CHN,GBR,7,43,China
195,2016,14085161813,2693935452,CHN,GBR,7,43,China
196,2017,14335154728,2942303505,CHN,GBR,7,43,China
197,1995,12824765362,10269845100,CHN,HKG,7,43,China
198,1996,14630171319,11344561459,CHN,HKG,7,43,China
199,1997,16011605633,11620228377,CHN,HKG,7,43,China
200,1998,16340026445,10668642297,CHN,HKG,7,43,China
201,1999,16920759319,11132505384,CHN,HKG,7,43,China
202,2000,20068966088,13936538334,CHN,HKG,7,43,China
203,2001,19251911828,16068465871,CHN,HKG,7,43,China
204,2002,20088181700,17729192565,CHN,HKG,7,43,China
205,2003,22938697461,22653248634,CHN,HKG,7,43,China
206,2004,28986876054,26487195536,CHN,HKG,7,43,China
207,2005,36106824809,32704886953,CHN,HKG,7,43,China
208,2006,43473387564,37393676055,CHN,HKG,7,43,China
209,2007,51800263018,1656103637,CHN,HKG,7,43,China
210,2008,55170410046,41039187397,CHN,HKG,7,43,China
211,2009,44069727142,1138269563,CHN,HKG,7,43,China
212,2010,56448078150,1487943489,CHN,HKG,7,43,China
213,2011,62702337325,9594949088,CHN,HKG,7,43,China
214,2012,76781867462,9537625988,CHN,HKG,7,43,China
215,2013,78953473444,8674215543,CHN,HKG,7,43,China
216,2014,76350081540,9381403201,CHN,HKG,7,43,China
217,2015,67036065237,8090835617,CHN,HKG,7,43,China
218,2016,58810630649,1394439785,CHN,HKG,7,43,China
219,2017,61398787418,1294105564,CHN,HKG,7,43,China
220,2010,9726016743,396715355,CHN,IND,7,43,China
221,2011,12494716183,637381557,CHN,IND,7,43,China
222,2012,11436894666,576811023,CHN,IND,7,43,China
223,2013,11488679460,684268325,CHN,IND,7,43,China
224,2014,11947674692,660356246,CHN,IND,7,43,China
225,2015,12617250110,754513770,CHN,IND,7,43,China
226,2016,12562439309,643937597,CHN,IND,7,43,China
227,2017,14981728004,840507060,CHN,IND,7,43,China
228,2008,6466841201,4384540441,CHN,ITA,7,43,China
229,2010,7006496077,5752982086,CHN,ITA,7,43,China
230,2011,8016464780,6636578076,CHN,ITA,7,43,China
231,2012,7345505195,5562458397,CHN,ITA,7,43,China
232,2013,7286353372,5312844114,CHN,ITA,7,43,China
233,2014,7816607338,6266366316,CHN,ITA,7,43,China
234,2015,7092723729,5177064823,CHN,ITA,7,43,China
235,2016,7245866442,4467684707,CHN,ITA,7,43,China
236,2017,7965925835,5217187003,CHN,ITA,7,43,China
237,1995,2575632963,7774524107,CHN,JPN,7,43,China
238,1996,3645211275,8425217640,CHN,JPN,7,43,China
239,1997,4489075518,7078861306,CHN,JPN,7,43,China
240,1998,4318741043,7886273496,CHN,JPN,7,43,China
241,1999,4646610611,8711648741,CHN,JPN,7,43,China
242,2000,6165187071,8458341674,CHN,JPN,7,43,China
243,2001,6980971170,11388935958,CHN,JPN,7,43,China
244,2002,9828962105,12468925555,CHN,JPN,7,43,China
245,2003,14119465699,18936566690,CHN,JPN,7,43,China
246,2004,17685240525,24746037697,CHN,JPN,7,43,China
247,2005,22071846312,25332757506,CHN,JPN,7,43,China
